stt,word,furigana,Sino-Vietnamese,meaning,example
221,飾り,かざ,sức,trang trí,"[['1. クリスマスの飾りを買った', 'Tôi đã mua đồ trang trí Giáng sinh.']]"
222,遊び,あそ,du,"chơi, trò chơi","[['1. かくれんぼは子どもの遊びだ', 'Trốn tìm là trò chơi của những đứa trẻ.'], ['合 ［名詞］＋遊び\u3000（例・\u3000砂遊び、\u3000水遊び、\u3000人形遊び）', 'Chơi + [ Danh từ ] (ví dụ: chơi cát, chơi nước, chơi búp bê)']]"
223,集まり,あつ,tập,tập trung,"[['1. あした、マンションの住人の集まりがある', 'Ngày mai, sẽ có buổi họp mặt những người sống ở chung cư.']]"
224,教え,おし,giáo,chỉ dạy,"[['1. 母の教えを今でも思い出す', 'Đến bây giờ tôi vẫn nhớ những lời mẹ dạy.']]"
225,踊り,おど,dũng,nhảy múa,"[['1. 留学生が各国の踊りを踊った', 'Du học sinh nhảy múa điệu nhảy của các nước.'], ['類 ダンス', 'Khiêu vũ']]"
226,思い,おも,tư,"nghĩ, cảm nhận","[['1. あの人に私の思いが届いた', 'Tình cảm của tôi đã truyền tải đến người ấy.'], ['連 ＿が届く、｛いやな／楽しい…｝＿をする', 'Truyền tải tình cảm, gây cảm giác khó chịu / tạo cảm giác vui vẻ']]"
227,考え,かんが,khảo,"suy nghĩ, ý tưởng","[['1. 私にいい考えがある', 'Tôi có ý tưởng tốt.'], ['連 ＿がある、\u3000＿が浮かぶ', 'Có ý tưởng, nghĩ ra']]"
228,片づけ,かた,phiến,dọn dẹp,"[['1. 私は片づけが苦手だ', 'Tôi không thích dọn dẹp.'], ['合 後＿', 'Dọn dẹp sau khi kết thúc'], ['関 かたづける', 'Dọn dẹp']]"
229,手伝い,てつだ,thủ truyền/truyện,giúp đỡ,"[['1. 引っ越しの手伝いをする', 'Giúp chuyển nhà.']]"
230,働き,はたら,động,"chức năng, hoạt động","[['1. 血液の働きの一つは、体に栄養を運ぶことだ', 'Một trong những chức năng của máu là vận chuyển dinh dưỡng cho cơ thể.'], ['2. 彼の働きで計画が成功した', 'Nhờ vào sự năng nổ của anh ấy mà kế hoạch đã thành công.']]"
231,決まり,き,quyết,quy định,"[['1. 学校で新しい決まりが作られた', 'Quy định mới được thiết lập ở trường học.']]"
232,騒ぎ,さわ,tao,"ầm ĩ, ồn ào","[['1. きのう、駅前で騒ぎがあった', 'Hôm qua, trước nhà ga đã có một cuộc náo loạn.']]"
233,知らせ,し,tri,thông báo,"[['1. 父が入院したという知らせがあった', 'Có thông báo rằng bố tôi đã nhập viện.'], ['連 ＿がある、\u3000＿が届く', 'Có thông báo, đưa tin']]"
234,頼み,たの,lại,"nhờ vả, yêu cầu","[['1. 「あなたに頼みがあるんです」', '""Tôi có một việc muốn nhờ anh.""'], ['連 ＿がある、\u3000＿を聞く', 'Có việc nhờ, đáp ứng yêu cầu'], ['類 お願い', 'Nguyện vọng']]"
235,疲れ,つか,bì,mệt mỏi,"[['1. 仕事で疲れがたまっている', 'Mệt mỏi chất chồng bởi công việc.'], ['連 ＿がたまる、\u3000＿がとれる', 'Mệt mỏi chồng chất, mệt mỏi được giải tỏa']]"
236,違い,ちが,vi,khác nhau,"[['1. この二つの違いがわからない', 'Tôi không biết sự khác biệt giữa hai\xa0cái này.']]"
237,始め,はじ,thủy,bắt đầu,"[['1. 本を始めから終わりまで全部読んだ', 'Tôi đọc tất cả cuốn sách từ đầu đến cuối.'], ['対 終わり', 'Kết thúc']]"
238,続き,つづ,tục,tiếp tục,"[['1. 早く本の続きが読みたい', 'Tôi muốn sớm đọc đoạn tiếp theo của quyển sách.']]"
239,暮れ,く,mộ,"chiều tà, cuối (năm, thu...)","[['1. 年の暮れは忙しい', 'Cuối năm thì bận rộn.']]"
240,行き,い,hành/hàng,đi,"[['', '']]"
241,帰り,かえ,quy,về,"[['1. 旅行は、行きは新幹線、帰りは飛行機だった', 'Chuyến lữ hành thì chiều đi đi bằng tàu Shinkansen, chiều về đi bằng máy bay.'], ['2. 会社の行き帰りにコンビニに寄る', 'Trên đường đi làm và trở về tôi ghé vào cửa hàng tiện lợi.'], ['合 ［地名］\u3000＋行き\u3000（例・\u3000横浜行きの電車）', 'Đi + [tên địa điểm]  (ví dụ: tàu đi Yokohama)']]"
242,急ぎ,いそ,cấp,"khẩn cấp, gấp gáp","[['1. 急ぎの仕事が入った', 'Tôi có việc gấp.']]"
243,遅れ,おく,trì,"chậm trễ, muộn","[['1. 電車に3分の遅れが出た', 'Tàu điện đã muộn 3 phút.'], ['連 ＿が出る', 'Trì hoãn'], ['合 時代＿、\u3000流行＿、\u3000［時間］\u3000＋遅れ', 'Lỗi thời, lỗi mốt, trễ + [thời gian]']]"
244,貸し,か,thải,cho vay,"[['1. あの人には10万円の貸しがある', 'Tôi cho người kia vay 10 man.']]"
245,借り,か,tá,vay,"[['1. 借りは返さなければならない', 'Vay thì phải trả.'], ['2. 試験中は、筆記用具の貸し借りは禁止されている', 'Trong giờ thi, không được phép mượn và cho mượn bút viết.']]"
246,勝ち,か,thắng,thắng,"[['1. きょうの試合はAチームの勝ちだった', 'Trận đấu hôm nay đội A thắng.']]"
247,負け,ま,phụ,thua,"[['1. 負けが続いて、いやになった', 'Thấy khó chịu bởi thất bại liên tiếp.'], ['2. 勝ち負けを気にせず、力いっぱい戦おう', 'Đừng quan tâm đến thắng thua, hãy chiến đấu hết sức mình.']]"
248,迎え,むか,nghênh,đón,"[['1. 迎えの車がなかなか来ない', 'Ô tô đến đón mãi chưa thấy tới.'], ['合 出＿、\u3000送り＿', 'Ra đón, đưa đón']]"
249,始まり,はじ,thủy,sự bắt đầu,"[['1. 映画の始まりに間に合わなかった', 'Đã không kịp xem bộ phim từ lúc mở màn.']]"
250,終わり,お,chung,sự kết thúc,"[['1. 夏休みはもうすぐ終わりだ', 'Kỳ nghỉ hè sắp kết thúc.']]"
251,戻り,もど,lệ,trở lại,"[['1. 「きょうの戻りは３時ごろになります」', '""Hôm nay tôi quay lại lúc tầm 3 giờ.""']]"
252,別れ,わか,biệt,chia ly,"[['1. 日本では3月は別れの季節だ', 'Ở Nhật , tháng 3 là mùa chia ly.']]"
253,喜び,よろこ,hỉ,vui mừng,"[['1. 優勝できて、喜びでいっぱいだ', 'Đã giành chức vô địch, thật là tràn đầy niềm vui sướng.'], ['合 大＿', 'Rất vui sướng']]"
254,楽しみ,たの,lạc/nhạc,vui vẻ,"[['1. 来週のパーティー｛が楽しみだ／を楽しみにしている}', 'Mong đợi bữa tiệc tuần tới.'], ['連 ＿にする', 'Mong đợi']]"
255,笑い,わら,tiếu,"cười, tiếng cười","[['1. 歌手の冗談で会場に笑いが起きた', 'Cả hội trường dậy lên tiếng cười vì câu nói đùa của ca sỹ.'], ['合 大＿', 'Cười lớn']]"
256,驚き,おどろ,kinh,ngạc nhiên,"[['1. この大きな家がたったの100万円とは驚きだ', 'Thật bất ngờ khi chỉ mất 1.000.000 yên để xây ngôi nhà to rộng này.']]"
257,怒り,いか,nộ,"tức giận, phẫn nộ","[['1. 殺人のニュースに怒りを感じた', 'Tôi cảm thấy phẫn nộ trước tin tức về kẻ sát nhân.']]"
258,悲しみ,かな,bi,buồn đau,"[['1. 愛犬を亡くした悲しみが消えない', 'Nỗi buồn về cái chết của chú chó cưng day dứt khôn nguôi.']]"
259,幸せな,しあわ,hạnh,hạnh phúc,"[['1. 幸せな人生', 'Sống hạnh phúc.'], ['2. 幸せに暮らす', 'Cuộc sống hạnh phúc\xa0.'], ['3. いい家族や友だちがいて、私は幸せだ', 'Tôi hạnh phúc vì có gia đình và bạn bè tốt.'], ['対 不幸せな', 'Bất hạnh, kém may mắn'], ['名 幸せ <=> 不幸せ', 'Hạnh phúc <=> Bất hạnh']]"
260,得意な,とくい,đắc ý,"giỏi, tinh thông, thành thạo","[['1. 彼女は｛ギター／作文／料理\u3000…｝が得意だ', 'Cô ấy giỏi về {đàn guitar / viết văn / nấu ăn...}.'], ['2. 私の得意な教科は数学です', 'Môn học sở trường của tôi là toán học.'], ['3. 父は編み物を得意にしている', 'Bố tôi rất giỏi đan len.'], ['4. 弟はテストで100点をとって得意になっている', 'Em trai tôi đang tự mãn bởi đạt được 100 điểm trong bài kiểm tra.'], ['連 ＿にする', 'Giỏi làm gì đó'], ['対 苦手な、\u3000不得意な', 'Yếu, không giỏi']]"
261,苦手な,にがて,khổ thủ,"kém, yếu, không ưu","[['1. 彼女は｛ギター／作文／料理\u3000…｝が苦手だ', 'Cô ấy không giỏi { đàn guitar / viết văn / nấu ăn ...}.'], ['2. 私の苦手な教科は数学です', 'Môn tôi học kém là toán học\xa0.'], ['3. 私は山本さんが苦手だ', 'Tôi không thấy thoái mái với anh Yamamoto.'], ['4. チーズは、あのにおいがどうも苦手だ', 'Tôi không thể ngửi được mùi pho-mát.'], ['対 得意な', 'Giỏi, đắc ý']]"
262,熱心な,ねっしん,nhiệt tâm,"nhiệt tình, tận tâm","[['1. 熱心な仕事ぶりが認められて昇進した', 'Được ghi nhận sự nhiệt tình trong công việc và được thăng chức.'], ['2. 熱心にプロポーズされて結婚した', 'Được cầu hôn một cách nhiệt tình rồi tiến tới hôn nhân.'], ['3. 彼女は子どもの教育に熱心だ', 'Cô ấy rất nhiệt tình giáo dục trẻ em.'], ['合 熱心さ', 'Sự nhiệt tình, đam mê'], ['対 不熱心な', 'Lãnh đạm, thờ ơ']]"
263,夢中な,むちゅう,mộng trung,"say sưa, miệt mài","[['1. 子どものころ、SF漫画に夢中になった', 'Hồi còn nhỏ, tôi say mê truyện tranh SF.'], ['2. 彼は生まれたばかりの子どもに夢中だ', 'Anh ấy không rời 1 giây với đứa con gái mới sinh.'], ['3. 社会人になったばかりで、毎日｛○夢中で／✕夢中に｝過ごしている', 'Mới bắt đầu đi làm cho nên tôi say sưa hăng hái làm việc mỗi ngày.']]"
264,退屈な,たいくつ,thoái khuất,"buồn tẻ, chán ngắt","[['1. ほかの観客は笑いながら見ていたが、私には退屈な映画だった', 'Các khán giả khác vừa xem vừa cười, nhưng đó là một bộ phim nhàm chán đối với tôi\xa0.'], ['2. きょうは、何もすることがなくて退屈だ', 'Hôm nay chẳng có gì để làm, chán quá.'], ['合 退屈さ', 'Sự buồn chán'], ['名 退屈\u3000（例・\u3000校長先生の話が長くて退屈した）', 'Chán nản (ví dụ, câu chuyện của hiệu trưởng dài và chán)']]"
265,健康な,けんこう,kiện khang,"khỏe mạnh, tráng kiện","[['1. 心も体も健康な子どもを育てたい', 'Tôi muốn nuôi dạy con khỏe mạnh cả thể chất lẫn tinh thần.'], ['2. 毎日運動をしていたら、とても健康になった', 'Vận động hàng ngày và trở nên khỏe mạnh.'], ['合 健康的な', 'Lành mạnh, khỏe khoắn'], ['対 不健康な', 'Ốm yếu, không khỏe mạnh'], ['名 健康', 'Sức khỏe, lành mạnh']]"
266,苦しい,くる,khổ,"khổ cực, đau đớn","[['1. ｛息／胸／心／生活…｝が苦しい', 'Hơi thở khó nhọc/ tức ngực/ khó chịu ở tim/ cuộc sống khổ cực…'], ['2. 苦しい試合だったが、なんとか勝つことができた', 'Đó là một cuộc thi khó nhưng dù sao tôi cũng đã chiến thắng.'], ['3. その一家は、戦後の苦しい時代をがんばって生きてきた', 'Gia đình đó đã cố gắng sống vào thời kì khó khăn\xa0sau chiến tranh.'], ['4. 経営がうまくいかず、社長は苦しい立場に置かれた', 'Việc kinh doanh không được suôn sẻ, giám đốc bị đặt vào tình thế khó khăn.'], ['合 苦しさ、\u3000苦しみ、\u3000寝＿、\u3000聞き＿、\u3000見＿、\u3000息＿\u3000（○○ぐるしい）', 'Đau khổ, nỗi khổ, khó ngủ, khó nghe, khó nhìn, hơi thở khó nhọc'], ['関 苦しむ・苦しめる', 'Đau đớn, khổ sở, bạc đãi dày vò']]"
267,平気な,へいき,bình khí,"bình tĩnh, bình thản","[['1. 彼女は、どんなに悪口を言われても平気な顔をしている', 'Dù cho  bị nói xấu đến mức nào thì, cô ấy vẫn luôn tỏ ra khuôn mặt bình tĩnh.'], ['2. 体力があるので、10キロぐらい歩くのは平気だ', 'Bởi vì có thể lực tốt nên dù đi bộ 10km vẫn thấy bình thường.'], ['3. あの人は｛○平気で／✕平気に｝うそをつく', 'Người kia nói dối một cách bình thản.']]"
268,悔しい,くや,hối,"tiếc nuối, đau lòng","[['1. 何度練習してもうまくできなくて、悔しい', 'Cảm thấy tiếc nuối vì dù luyện tập bao nhiêu vẫn không giỏi.'], ['2. たった１点差で試合に負けて悔しい思いをした', 'Tôi cảm thấy tiếc nuối vì đã thua với chỉ 1 điểm cách biệt.'], ['合 悔しさ', 'Sự tiếc nuối, hối tiếc']]"
269,うらやましい,,,ghen tị,"[['1. 才能の豊かな人がうらやましい', 'Ghen tị với người có nhiều tài năng.'], ['2. 弟はゲームをたくさん持っている友だちをうらやましがっている', 'Em trai tôi ghen tị với những người bạn có rất nhiều trò chơi.'], ['合 うらやましさ', 'Sự đố kị, ghen tị'], ['関 うらやむ', 'Ghen tỵ']]"
270,かゆい,,,ngứa,"[['1. 蚊に刺されて首がかゆい', 'Cổ tôi bị ngứa do muỗi cắn.'], ['合 かゆさ、\u3000かゆみ', 'Ngứa']]"
